rank,token,count
1387,wicked,1140
1388,beast,1139
1389,wherever,1138
1390,station,1138
1391,torn,1134
1392,whose,1133
1393,garden,1132
1394,something's,1131
1395,signs,1130
1396,cha,1129
1397,hat,1127
1398,nose,1124
1399,system,1121
1400,building,1121
1401,workin,1121
1402,miracle,1120
1403,dogs,1120
1404,london,1119
1405,boat,1119
1406,cheap,1119
1407,rocking,1118
1408,horse,1117
1409,madness,1114
1410,worse,1114
1411,arm,1114
1412,downtown,1112
1413,beware,1110
1414,bus,1109
1415,decide,1109
1416,chances,1107
1417,rocks,1107
1418,watched,1105
1419,nobody's,1101
1420,misery,1101
1421,kissed,1096
1422,confusion,1095
1423,person,1094
1424,hills,1094
1425,fish,1094
1426,beg,1093
1427,square,1091
1428,soldier,1090
1429,birds,1090
1430,bust,1090
1431,gift,1090
1432,drinking,1088
1433,pictures,1088
1434,attention,1087
1435,bother,1087
1436,nightmare,1084
1437,score,1083
1438,everything's,1083
1439,distant,1082
1440,diamond,1082
1441,crawl,1082
1442,mark,1079
1443,wanting,1079
1444,path,1077
1445,bitter,1075
1446,staring,1074
1447,spin,1072
1448,paint,1071
1449,ought,1071
1450,somebody's,1071
1451,lust,1069
1452,leather,1069
1453,verse,1068
1454,believing,1067
1455,anytime,1067
1456,asleep,1067
1457,twist,1067
1458,drum,1066
1459,mood,1064
1460,difference,1064
1461,listening,1064
1462,brave,1063
1463,dis,1062
1464,troubles,1061
1465,foolish,1061
1466,pon,1060
1467,hotel,1057
1468,steady,1055
1469,disappear,1055
1470,holds,1054
1471,wearing,1053
1472,restless,1053
1473,remain,1052
1474,hunger,1050
1475,hall,1049
1476,rush,1049
1477,private,1045
1478,bend,1044
1479,fortune,1043
1480,wasted,1042
1481,joke,1041
1482,woke,1040
1483,dumb,1036
1484,imagine,1035
1485,cloud,1033
1486,planet,1033
1487,spring,1033
1488,plane,1033
1489,ourselves,1032
1490,destroy,1030
1491,cuts,1030
1492,resist,1029
1493,bloody,1028
1494,underground,1028
1495,modern,1027
1496,threw,1026
1497,flight,1026
1498,bill,1024
1499,sat,1023
1500,wishing,1023
1501,confused,1022
1502,spinning,1022
1503,strike,1022
1504,direction,1021
1505,opened,1019
1506,electric,1018
1507,smooth,1018
1508,nasty,1016
1509,slave,1014
1510,breeze,1013
1511,silly,1013
1512,block,1010
1513,fallin,1010
1514,rage,1008
1515,ending,1007
1516,friday,1006
1517,underneath,1006
1518,cure,1006
1519,merry,1004
1520,ugly,1003
1521,cost,1001
1522,thee,1001
1523,complete,1000
1524,dies,1000
1525,draw,1000
1526,suck,998
1527,monkey,997
1528,north,995
1529,stories,994
1530,order,994
1531,smiles,991
1532,color,990
1533,hollywood,989
1534,deeper,989
1535,sacrifice,988
1536,enemy,987
1537,fields,986
1538,they'd,985
1539,himself,985
1540,moved,985
1541,lesson,983
1542,smiling,983
1543,screams,980
1544,aren't,979
1545,showed,979
1546,grass,978
1547,boss,978
1548,tellin,977
1549,poison,976
1550,often,976
1551,kingdom,976
1552,guide,976
1553,toy,975
1554,missed,972
1555,wasting,969
1556,regret,969
1557,happening,967
1558,killer,967
1559,candy,962
1560,roses,961
1561,chase,961
1562,hangin,961
1563,screen,961
1564,enjoy,960
1565,date,960
1566,dirt,954
1567,lets,952
1568,names,951
1569,glow,951
1570,loneliness,950
1571,circle,949
1572,melody,947
1573,stole,947
1574,imagination,946
1575,anger,944
1576,headed,943
1577,naked,941
1578,ooo,940
1579,kings,940
1580,cuz,939
1581,rip,939
1582,command,938
1583,animal,937
1584,spoken,935
1585,squeeze,933
1586,liar,932
1587,angry,932
1588,doll,931
1589,celebrate,930
1590,windows,930
1591,hardly,930
1592,victory,930
1593,gentle,929
1594,diamonds,929
1595,tie,927
1596,iron,925
1597,although,925
1598,dime,925
1599,cup,925
1600,pump,925
1601,sha,924
1602,valley,923
1603,scratch,922
1604,comfort,922
1605,shelter,922
1606,remains,920
1607,satisfy,919
1608,captain,919
1609,emotions,918
1610,ok,918
1611,release,917
1612,crown,916
1613,dad,916
1614,reggae,914
1615,rings,914
1616,bag,914
1617,gas,914
1618,breakin,914
1619,starting,912
1620,page,911
1621,dreamed,911
1622,favorite,910
1623,blowing,909
1624,pity,906
1625,ticket,906
1626,shaking,904
1627,steps,904
1628,heroes,904
1629,texas,902
1630,prince,901
1631,smart,896
1632,coast,895
1633,waits,893
1634,punk,892
1635,singin,891
1636,lean,890
1637,spot,890
1638,thy,888
